round_epochs,loss,acc,val_loss,val_acc,lr,optimizer,activation,dropout,regularization,loss_functions,layers,layer_size,batch_size
11,0.371099554989073,0.82611114,0.49689060816398034,0.793007,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,100,64
11,0.37175179395168884,0.82733333,0.4998436511826369,0.793007,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,1,300,4
11,0.38099348009957207,0.8241111,0.5010515088801617,0.793007,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,300,64
12,0.38179491339789495,0.826,0.5079925493760542,0.7944056,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,100,64
11,0.37756077193871734,0.8228889,0.5049051793858773,0.793007,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,300,4
11,0.369028572604487,0.82622224,0.5101213045288008,0.7916084,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,100,4
11,0.36766527268621657,0.82644445,0.5048542532053861,0.7909091,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,100,64
11,0.37817590241962007,0.8241111,0.4872737335992026,0.793007,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,3,300,64
11,0.36733118291325373,0.8298889,0.5044460208975821,0.7909091,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,3,300,4
13,0.3629489909278022,0.83122224,0.49449237726785084,0.7944056,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,None,categorical_crossentropy,3,300,64
11,0.376810278812543,0.8258889,0.4853859753328395,0.7937063,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,3,100,4
11,0.39729472753736705,0.82155555,0.5097584764440577,0.7951049,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,300,64
11,0.4173826349746022,0.812,0.480446824051075,0.7909091,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,100,4
15,0.38231864545080396,0.822,0.4924996863711964,0.793007,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,3,100,64
11,0.3813118345716761,0.82622224,0.5119356110692024,0.7923077,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,300,4
11,0.5775362178484599,0.8228889,0.6755911802912092,0.78811187,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,100,64
11,0.3821119944648817,0.82666665,0.505170649122056,0.7916084,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,300,4
11,0.3732231269393932,0.82655555,0.5075541175927941,0.7923077,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,3,300,4
11,0.3803280516208874,0.8248889,0.49208034384552835,0.7923077,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,100,4
11,0.36823377487394543,0.828,0.504898115221437,0.7958042,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,1,300,64
14,0.3666552005873786,0.82744443,0.502787608283383,0.7958042,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,1,100,64
11,0.3712165146020246,0.827,0.49843360474897436,0.7916084,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,300,4
11,0.38243576219346787,0.8238889,0.495852400372912,0.793007,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,3,300,64
11,0.3695363311913116,0.82611114,0.5028250443988473,0.7951049,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,1,100,4
18,0.3704234050863888,0.8246667,0.49331627383614873,0.7965035,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,3,100,4
11,0.3810585300922394,0.8234444,0.49323510431743167,0.7923077,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,3,100,64
11,0.3702398492495219,0.82555556,0.4986553425555463,0.793007,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,100,64
11,0.3681495207116968,0.82766664,0.5015988891441586,0.7916084,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,1,300,4
11,0.39135231061776476,0.82555556,0.5353884350117687,0.7951049,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,3,100,4
